event,x,y,z,adc,zelem,layer
74,1.77579,2.29401,9.58689,13,7,0
74,1.77579,2.29401,9.58689,13,7,0
74,1.20146,2.3244,8.99714,6,7,0
74,1.20146,2.3244,8.99714,6,7,0
74,1.51865,2.30762,11.0609,3,8,0
74,1.15985,2.3266,12.6408,1,8,0
74,0.661121,2.35298,11.5045,5,8,0
74,-0.561537,2.04506,-14.0941,7,0,0
74,-0.522009,2.06518,-14.0918,4,0,0
74,-0.511495,2.07053,-14.0241,9,0,0
74,-0.561537,2.04506,-14.0942,6,0,0
74,-0.522009,2.06518,-14.0918,4,0,0
74,-0.511495,2.07053,-14.0241,9,0,0
74,-0.569722,2.04089,-9.16718,12,1,0
74,0.302485,2.48477,-10.3307,3,1,0
74,0.127205,2.39556,-9.30778,8,1,0
74,0.579979,2.62598,-10.8999,6,1,0
74,0.302485,2.48477,-10.3307,3,1,0
74,-0.547762,2.05207,-9.42218,8,1,0
74,0.579979,2.62598,-10.8999,6,1,0
74,-0.54819,2.05185,-9.42244,7,1,0
74,-0.266593,2.19516,-7.42755,17,2,0
74,0.086651,2.37493,-7.44546,7,2,0
74,-0.418997,2.1176,-3.48246,10,3,0
74,0.405529,2.53721,-3.48871,25,3,0
74,0.405463,2.53717,-3.48977,23,3,0
74,-0.0416861,2.30961,-0.923601,2,4,0
74,-0.028418,2.31637,-0.602748,13,4,0
74,-0.558685,2.04651,0.445319,21,4,0
74,-0.280051,2.18831,-1.60489,4,4,0
74,-0.0416861,2.30961,-0.923601,2,4,0
74,-0.220331,2.2187,-0.484374,7,4,0
74,-0.558685,2.04651,0.445319,21,4,0
74,-0.280051,2.18831,-1.60489,4,4,0
74,-0.220331,2.2187,-0.484374,7,4,0
74,0.375552,2.52195,-1.91581,6,4,0
74,0.375632,2.52199,-1.91571,5,4,0
74,-0.187819,2.23525,1.08262,6,5,0
74,-0.195805,2.23118,2.32581,3,5,0
74,-0.594277,2.0284,2.65329,3,5,0
74,-0.187819,2.23525,1.08262,6,5,0
74,-0.196204,2.23098,2.32678,4,5,0
74,-0.594477,2.0283,2.65427,4,5,0
74,0.471457,2.57076,1.77824,15,5,0
74,-0.5486,2.05164,1.54841,5,5,0
74,0.471776,2.57092,1.77707,12,5,0
74,-0.146614,2.25622,2.03321,5,5,0
74,-0.5486,2.05164,1.54841,5,5,0
74,-0.146614,2.25622,2.03321,5,5,0
74,-0.480086,2.08651,4.25405,1,6,0
74,-0.12498,2.26723,4.95176,13,6,0
74,-0.514822,2.06883,4.98944,4,6,0
74,-0.480086,2.08651,4.25259,2,6,0
74,-0.12498,2.26723,4.95176,13,6,0
74,-0.514822,2.06883,4.98944,4,6,0
74,-0.520811,2.06578,5.37687,1,6,0
74,-0.19261,2.23281,5.91927,6,6,0
74,-0.520811,2.06578,5.37687,1,6,0
74,-0.19261,2.23281,5.91927,6,6,0
74,-0.531591,2.0603,5.46751,2,6,0
74,-0.531591,2.0603,5.46751,2,6,0
74,0.489544,2.57996,7.2174,12,7,0
74,-0.141504,2.25882,7.0595,3,7,0
74,0.489544,2.57996,7.2174,12,7,0
74,0.506912,2.5888,8.67111,2,7,0
74,-0.117015,2.27128,9.07414,18,7,0
74,-0.141504,2.25882,7.0595,3,7,0
74,0.506912,2.5888,8.67111,2,7,0
74,-0.116833,2.27137,9.07424,19,7,0
74,0.443428,2.55649,7.84654,6,7,0
74,-0.448643,2.10251,9.49678,8,7,0
74,0.44223,2.55588,7.84508,1,7,0
74,0.287199,2.47699,12.5078,14,8,0
74,-0.522009,2.06518,12.6847,8,8,0
74,-0.560128,2.04578,10.5176,17,8,0
74,-0.544767,2.05359,10.6182,7,8,0
74,-0.363765,2.14571,11.5144,9,8,0
74,-0.483679,2.08468,12.1773,8,8,0
74,0.265377,2.46588,12.3068,17,8,0
74,0.0158089,2.33887,12.6666,22,8,0
74,-0.55994,2.04587,10.5178,18,8,0
74,-0.544767,2.05359,10.6182,7,8,0
74,-0.363765,2.14571,11.5144,9,8,0
74,-0.483679,2.08468,12.1773,8,8,0
74,0.265253,2.46582,12.3071,16,8,0
74,0.0158089,2.33887,12.6666,22,8,0
74,0.273339,2.46993,11.2914,4,8,0
74,-1.01496,1.87336,-13.4345,7,0,0
74,-1.11236,1.72353,-13.2825,29,0,0
74,-1.11353,1.72173,-13.1389,25,0,0
74,-1.26742,1.48501,-13.6379,25,0,0
