event,x,y,z,adc,zelem,layer
74,-55.7022,38.4698,47.0613,439,0,47
74,-56.7419,38.8883,46.4759,879,0,48
74,-57.7785,39.3116,45.8963,2547,0,49
74,-58.7791,39.7888,45.4236,284,0,50
74,-59.819,40.2071,44.6624,2280,0,51
74,-60.8562,40.6294,44.1448,304,0,52
74,-24.0193,20.3834,-17.3999,643,0,7
74,-24.3306,20.8823,-17.162,323,0,8
74,-24.6785,21.3486,-17.0108,108,0,9
74,-25.0343,21.7967,-16.8945,131,0,10
74,-25.3705,22.2762,-16.8334,63,0,11
74,-25.746,22.702,-16.6239,144,0,12
74,-26.0696,23.1959,-16.5211,54,0,13
74,-26.3961,23.6776,-16.246,43,0,14
74,-27.3481,25.1665,-15.9445,177,0,17
74,-27.6492,25.6662,-15.7754,159,0,18
74,-28.0023,26.1201,-15.429,142,0,19
74,-28.3503,26.5707,-15.4498,327,0,20
74,-28.6693,27.0602,-15.3682,141,0,21
74,-28.9897,27.5397,-15.1341,31,0,22
74,-32.4791,33.6436,-13.2941,396,0,28
74,-33.1207,34.4424,-13.1394,126,0,29
74,-34.0284,36.3994,-12.6014,285,0,31
74,-34.6153,37.2506,-12.3498,62,0,32
74,-35.063,38.2349,-12.1068,1121,0,33
74,-35.8059,40.2998,-11.5969,949,0,35
74,-36.2123,41.301,-11.1636,190,0,36
74,-36.7686,42.1707,-11.0298,204,0,37
74,-36.9615,43.3591,-10.6923,977,0,38
74,-38.2372,46.2562,-9.87074,397,0,40
74,-39.0404,48.4249,-9.38748,747,0,42
74,-39.3424,49.5891,-9.07329,2426,0,43
74,-39.9104,50.5399,-9.00025,700,0,44
74,-40.2264,51.693,-8.58072,242,0,45
74,-40.5207,52.8617,-8.19846,397,0,46
74,-40.6492,54.1278,-7.80347,398,0,47
74,-41.0621,55.1854,-7.7102,356,0,48
74,-41.3396,56.3423,-7.36676,339,0,49
74,-41.6289,57.4905,-7.16666,704,0,50
74,-41.8028,58.7234,-6.78849,290,0,51
74,-42.0738,59.885,-6.50504,102,0,52
74,-42.2501,61.0927,-6.24788,649,0,53
74,-42.5504,62.2114,-6.05106,199,0,54
74,-26.673,16.7612,-5.49314,644,0,7
74,-27.0745,17.1849,-5.46648,432,0,8
74,-27.437,17.6706,-5.44382,531,0,9
74,-27.8224,18.1073,-5.47205,351,0,10
74,-28.1847,18.5892,-5.45082,805,0,11
74,-28.5323,19.0823,-5.47357,580,0,12
74,-28.8828,19.5819,-5.42783,563,0,13
74,-29.33,19.9261,-5.42347,1280,0,14
74,-29.6612,20.4544,-5.4238,788,0,15
74,-30.0584,20.8734,-5.44455,414,0,16
74,-30.4369,21.3299,-5.50664,150,0,17
74,-30.7748,21.8213,-5.52589,524,0,18
74,-31.1374,22.2889,-5.54047,586,0,19
74,-31.4651,22.7941,-5.59103,316,0,20
74,-31.8045,23.2933,-5.58713,1684,0,21
74,-32.173,23.743,-5.59875,560,0,22
74,-33.3062,25.0285,-5.70219,816,0,23
74,-33.9284,25.906,-5.62066,324,0,24
74,-34.5583,26.759,-5.60034,855,0,25
74,-35.1568,27.644,-5.54725,811,0,26
74,-35.7252,28.5664,-5.55902,464,0,27
74,-36.3907,29.3679,-5.57522,1173,0,28
74,-37.0336,30.1977,-5.46334,1917,0,29
